accuracy,kappa,latency_us,pool_memory_kb,active_memory_kb,final_pool_size,mean_active_size,drift_count,stream,method,seed,wall_time_s
0.8564807662598486,0.7047826515774174,253.54598925074976,1437.5654296875,1176.7958984375,6,2.4734513274336285,35.0,Electricity,DSPP-Adaptive,2,49.63459515571594
0.803645913795767,0.5867637271824138,175.13510527144112,6516.29296875,2193.2119140625,6,2.0,0.0,Electricity,StaticSPP-Lite,2,28.868937253952023
0.8602767539890975,0.7128663943157518,233.31819749755527,1436.1826171875,508.865234375,6,2.0,0.0,Electricity,StaticSPP-Adaptive,2,47.29493379592896
0.8041535168060736,0.5900935361740405,166.93437051994923,6516.265625,2192.9541015625,6,2.411504424778761,0.0,Electricity,StaticSPPFullSearch-Lite,2,27.42905330657959
0.8564807662598486,0.7047826515774174,249.84073845715815,1436.9306640625,1176.4013671875,6,2.4734513274336285,0.0,Electricity,StaticSPPFullSearch-Adaptive,2,48.93206548690796
0.8297102248902033,0.6460563100332061,179.6447383248863,1322.923828125,1322.923828125,10,10.0,,Electricity,OB,2,35.41195249557495
0.8975083313102779,0.7895752492779029,206.89939490652415,5708.439453125,5708.439453125,10,10.0,,Electricity,LB,2,125.37370824813844
0.8823464500893823,0.7581968151914193,179.01625706138017,8725.619140625,8725.619140625,10,10.0,,Electricity,ARF,2,60.176291704177856
0.8892542649687714,0.7720614671604374,206.57362903898968,8337.6328125,8337.6328125,10,10.0,,Electricity,SRP,2,141.05839109420776
0.808214340888526,0.5944934373249574,116.98245268395335,1036.67578125,1036.67578125,2,2.221238938053097,60.0,Electricity,DSPP-Lite,3,16.846954822540283
0.8594822449294873,0.7101861657124752,236.3817935636337,873.3271484375,484.1611328125,5,2.508849557522124,35.0,Electricity,DSPP-Adaptive,3,45.3111846446991
0.8103992408024542,0.6015127805561004,168.59791677687954,6697.076171875,2343.3447265625,6,2.0,0.0,Electricity,StaticSPP-Lite,3,27.61078977584839
0.8647127629052548,0.7214275449216143,245.3310952736317,1316.8994140625,637.1181640625,6,2.0,0.0,Electricity,StaticSPP-Adaptive,3,50.61361908912659
0.8087219438988326,0.5999090855001301,256.1625097545322,6699.20703125,2344.0107421875,6,2.384955752212389,0.0,Electricity,StaticSPPFullSearch-Lite,3,42.40455031394959
0.859769150978791,0.7110617677813863,336.666742672924,1316.6220703125,636.9833984375,6,2.4513274336283186,0.0,Electricity,StaticSPPFullSearch-Adaptive,3,66.90495085716248
